"player","trophys","australian","french","wimbledon","us"
"Roger Federer",20,Australian Open - 6,French Open - 1,Wimbledon - 8,US Open - 5
"Rafael Nadal",19,Australian Open - 1,French Open - 12,Wimbledon - 2,US Open - 4
"Novok Djokovic",16,Australian Open - 7,French Open - 1,Wimbledon - 5,US Open - 3
"Bjorn Borg",11,Australian Open - 0,French Open - 6,Wimbledon - 5,US Open - 0
"Ivan Lendl",8,Australian Open - 4,French Open - 1,Wimbledon - 1,US Open - 2
"Boris Becker",6,Australian Open - 2,French Open - 0,Wimbledon - 3,US Open - 1
"Rod Laver",5,Australian Open - 1,French Open - 1,Wimbledon - 2,US Open - 1
"Dinesh",8,Australian Open - 2,French Open - 3,Wimbledon - 2,US Open - 1
